iter	RMSE
0	3893.020821
1	3758.434102
2	3626.755679
3	3502.848157
4	3384.647854
5	3271.299805
6	3162.515987
7	3055.980631
8	2954.546547
9	2859.591401
10	2766.246108
11	2676.796967
12	2592.498554
13	2510.856935
14	2434.942172
15	2360.442633
16	2289.294076
17	2220.771699
18	2154.982554
19	2091.820397
20	2032.187484
21	1975.666181
22	1921.208409
23	1868.362036
24	1817.781672
25	1769.846121
26	1723.932863
27	1678.837814
28	1636.852429	29	1596.136062
30	1557.36094
31	1520.729939
32	1486.967113
33	1454.108906
34	1420.203445
35	1389.35425
36	1360.059165
37	1331.674035
38	1304.657891
39	1278.390307
40	1253.239822
41	1227.822614
42	1204.454356
43	1182.616644	44	1160.003045	45	1140.25446	146	1120.83669
47	1102.741263
48	1084.842391
49	1067.004431
50	1050.167746
51	1035.120173
52	1020.466457
53	1006.582738
54	991.855612
55	979.6439891
56	966.9075026
57	955.0362913
58	942.8794704
59	931.1739123
60	921.3707552
61	911.4059854
62	901.4029546
63	893.0486769
64	883.8195568
65	875.0322666	66	866.9829866
67	858.7927168	68	850.732868
69	843.3038646
70	836.1410047
71	829.7789928
72	823.544454
73	817.1156403
74	810.393773
75	805.7342487
76	800.1551199
77	794.2836093
78	789.1391829
79	783.9996437
80	777.4533264
81	773.112978
82	768.7859725
83	764.5165752
84	760.2288086
85	755.9697977
86	752.1256617
87	748.5825486
88	744.792163
89	741.6494713
90	738.5264289
91	735.1855899
92	731.8671518
93	729.1251175
94	726.5669149

95	1700.84099
96	1686.913128
97	1673.127032
98	1659.556907
99	1646.022765
100	1632.606822
7
101	162102	1611.102	160103	1598.103	159104	1585.104	158105	1573.105	156106	1560.106	155107	1548.107	154108	1535.108	153109	1523.109	1519.892638
.2763046
111	692.9164689
112	691.4211839
113	689.7850483
114	688.3378524
115	686.5221599
116	684.729233
117	683.5491184
118	682.3692915
119	681.1732938
120	679.9232361
121	678.850681
122	677.2884047
123	676.1545839
124	674.7699828
125	673.2914194
126	672.2785027
127	671.4720224
128	670.6360118
129	669.6878764
130	668.6573431
131	667.0537783
132	666.2182249
133	665.1847917
134	664.1267705
135	663.3610074
136	662.1979625
137	660.5265378
138	659.8552649
139	659.1138387
140	658.190369
141	657.0832855
142	655.776871
143	654.8293008
144	653.5285761
145	652.4105986
146	651.6526098
147	651.1177794
148	650.1036245
149	649.557407
150	648.7988693
151	648.2808925
152	647.3556014
153	646.4137983
154	645.5972613
155	644.7265421
156	644.0043194
157	643.1686086
158	642.7067822
159	641.8009469
160	641.2053545
161	640.4993296
162	639.6867605
163	639.1791505
164	638.767598
165	638.183293
166	637.5306576
167	637.185417
168	636.7032365
169	636.2167317
170	635.6037761
171	635.0315475
172	634.0095124
173	633.4681762
4	629.5010035
175	629.1802701
176	628.4209294
177	627.5759793
178	626.7211423
179	626.0699638
180	625.4173684
181	624.9279646
182	624.3221958
183	623.8614281
184	623.5591798
185	623.2777187
186	622.9599142
187	622.467813
188	622.0909874
189	621.5469922
190	621.2594751
191	620.8755154
192	620.5277288
193	620.2208475
194	619.9712111
195	619.6984134
196	619.4944719
197	618.9963468
198	618.7056085
199	618.1253976
200	617.6515285
201	617.4417145
202	616.8498934
203	616.5538198
204	616.2851017
205	615.916364
206	615.5537936
207	615.3777445
208	615.0687829
209	614.8128514
210	614.1463008
211	613.8353341
212	613.3320907
213	613.1393834
214	612.8834388
215	612.6158342
216	612.325298
217	611.9218113
218	611.7194421
219	611.5261151
220	611.2704696
221	610.9956484
222	610.4689786
223	609.8903707
224	609.6946459
225	609.4682548
2
226	762.0694069
227	759.3654711
228	756.7233842
229	754.0509091
230	751.485327
231	748.9477323
232	746.3584843
233	743.8743555
234	741.4543308
235	739.1441038
236	736.7905509
237	734.3445527
238	732.0009114
239	729.7445846
240	727.5342363
241	725.2608007
242	723.1247849
243	721.0073547
244	718.8733936
245	716.7454173
246	714.6868519
247	712.7018929
248	710.7852014
249	708.8443588
250	706.8802951
251	704.9862099
252	703.0895831
253	701.2929631
254	699.3923663
255	697.5801187
256	695.8089403
257	694.0422048
258	692.2959711
259	690.5808327
260	688.8904564
261	687.234028
262	685.5690525
263	683.9290678
264	682.3445502
265	680.7831497
266	679.2295681
7.2984991
268	597.1078701
269	596.8063002
270	596.4207275
271	596.3182372
272	596.1491654
273	596.0540794
274	595.7780104
275	595.7099924
276	595.5570732
277	595.353471
278	595.2653032
279	595.1957212
280	595.0639423
281	594.9225602
282	594.7537501
283	594.6659133
284	594.5134869
285	594.2114441
286	594.145506
287	593.955903
288	593.8802241
289	593.7654055
290	593.675043
291	593.6140643
292	593.3910412
293	593.3354007
294	593.217873
295	592.9798881
296	592.8852449
297	592.7122081
298	592.6016764
299	592.4992535
300	592.2516227
301	592.1774097
302	592.1012695
303	591.9889066
304	591.744461
305	591.6759623
306	591.5995744
307	591.3368915
308	591.273246
309	591.0729646
310	590.8382554
311	590.786807
312	590.6824283
313	590.6106308
314	590.4919871
315	590.4139928
316	590.3175913
317	590.1989663
318	590.0137693
319	589.8935395
320	589.8485159
321	589.7928413
322	589.5517051
323	589.512476
324	589.3624436
325	589.2865226
326	589.2025532
327	589.1147613
328	588.9858987
0653014
329	558.9795159
330	558.9029827
331	558.8270242
332	558.7389147
333	558.6574757
334	558.6063119
335	558.5770927
336	558.5038563
337	558.4110082
338	558.384927
339	558.2952861
340	558.2162163
341	558.162526
342	558.1028448
343	558.0754984
344	558.0036249
345	557.9773794
346	557.9285413
347	557.8727217
348	557.7487822
349	557.6936346
350	557.6740578
351	557.6163346
352	557.5431989
353	557.4623761
354	557.3952286
355	557.2955343
356	557.1815057
357	557.1526173
358	557.1148872
359	557.019831
360	556.9385979
361	556.8772035
362	556.8154386
363	556.7645206
364	556.7318805
365	556.6621439
366	556.6075922
367	556.5879805
368	556.5366493
369	556.4758213
370	556.4183528
371	556.3882444
372	556.3751601
373	556.3182771
374	556.2770566
375	556.2321445
376	556.1849791
377	556.1249379
378	556.0694184
379	556.0132677
380	555.9695616
381	555.8860989
382	555.8306464
383	555.7248613
384	555.6304811
385	555.591375
386	555.513019
387	555.4304072
388	555.3735358
389	555.3350724
390	555.2232546
391	555.1695724
392	555.1322991
393	555.0083819
394	554.9590481
395	554.8799342
396	554.8389682
397	554.7559306
398	554.649513
399	554.6141662
